LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 2 by 2 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
2400 atoms in group carbon
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
Neighbor list info ...
  4 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 13.4064 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 3 27[1] 27[2] 27[3] 28[1] 28[2] 28[3] 
       0          298    1.2509986     3498.833            0            0            0            0   -15873.524    44657.537 -0.067234084   -17.036218 -0.041707817     3498.833    1521.0094     935.4334    889.67826    28.379601    18.846571    14.337846 7.7711016e-30 8.8746852e-30 6.8181724e-30 5.7534156e-30          298     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069 2.9260261e-26 4.9466509e-24    28.379557    18.849013    14.339638    28.379812    18.845474    14.337264 
   10000    296.34721    1.2509986    3521.6347            0            0            0            0    576.81401    44657.537 -0.067234084   -17.036218 -0.041707817    3521.6347    1443.4441    1042.9741    887.23437    28.375959     18.84501    14.339711 0.00033662428 0.00033557856  0.088335318  0.088314556    296.34721     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    333.99654    201.97457    28.378811    18.849668     14.33939    28.376584     18.84454    14.340342 
   20000    299.52937    1.2509986    3497.6699            0            0            0            0   -1580.9761    44657.537 -0.067234084   -17.036218 -0.041707817    3497.6699    1466.2198    996.06618    885.02306    28.381874    18.849188    14.341503 0.00034658158 0.00034459443  0.084657402  0.084600593    299.52937     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    320.09031    207.94895    28.378739    18.849892      14.3389    28.383077    18.849592    14.342668 
   30000    295.69402    1.2509986    3569.6171            0            0            0            0    1434.2933    44657.537 -0.067234084   -17.036218 -0.041707817    3569.6171    1467.8696    981.19811    958.68318    28.377275    18.849736    14.338963 0.00033772223 0.00033686971  0.085596452  0.085575131    295.69402     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    323.64087    202.63334    28.379563    18.849395    14.338798    28.377567    18.849456    14.337918 
   40000    297.11097    1.2509986    3514.3817            0            0            0            0    236.21416    44657.537 -0.067234084   -17.036218 -0.041707817    3514.3817     1464.303    1027.2958    873.58274    28.384995    18.850975    14.341026 0.00036251972 0.00036102546  0.088037397  0.087947089    297.11097     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     332.8701    217.51183    28.380155    18.848049    14.339185    28.386968    18.850067    14.341509 
   50000    294.05797    1.2509986    3531.5727            0            0            0            0    -1223.956    44657.537 -0.067234084   -17.036218 -0.041707817    3531.5727     1455.899     1020.553    902.47866    28.378853    18.849226    14.336512  0.000357626 0.00035743833  0.083160445  0.083153533    294.05797     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    314.43031     214.5756    28.379569    18.848991    14.340071    28.380037    18.847842    14.336143 
   60000      299.771    1.2509986    3549.6491            0            0            0            0   -253.80761    44657.537 -0.067234084   -17.036218 -0.041707817    3549.6491    1472.9397    996.78675    923.45505    28.376902    18.847543    14.338006 0.00036719143 0.0003653965  0.089403841  0.089394895      299.771     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    338.03664    220.31486    28.380323    18.847914    14.339621    28.378174    18.847826    14.338119 
   70000    299.38949    1.2509986    3473.7332            0            0            0            0    473.01309    44657.537 -0.067234084   -17.036218 -0.041707817    3473.7332    1444.7521    986.58222    886.56803    28.379204    18.849267    14.338497 0.00035644999 0.00035552671  0.084299976  0.084281308    299.38949     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    318.73888    213.86999    28.378867    18.849293    14.340245    28.378932    18.849396    14.338849 
   80000    295.80231    1.2509986    3594.1685            0            0            0            0    187.45045    44657.537 -0.067234084   -17.036218 -0.041707817    3594.1685    1473.9514    1033.6775    926.92837    28.380756    18.852683    14.337627 0.00037471294 0.0003736652  0.082706279   0.08264383    295.80231     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     312.7131    224.82776    28.380184    18.848487    14.340252    28.378399    18.853212    14.336499 
   90000    299.37732    1.2509986    3542.7116            0            0            0            0   -622.96362    44657.537 -0.067234084   -17.036218 -0.041707817    3542.7116    1456.2803    1008.7269    921.07338    28.384905    18.847368    14.341048 0.00032828889 0.00032623159   0.08620874  0.086197401    299.37732     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    325.95594    196.97333    28.379174     18.84772    14.340127    28.380495    18.844886    14.340509 
